Class,USD,CAD
Government Bond,17.8,45.8
High Yield Bond,12.5,6.5
Investment Grade Bond,17,10.7
North American Equity,6.2,4.5
International Equity,5.9,4.8
Emerging Market Equity,6.3,5.3
Commodity - Gold,24.7,13.9
Real Estate,4.8,4.2
Global Infrastructure,4.8,4.3
