,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY,AAPL,MCD,SPY
Date,,,,,,,,,,,,,,,,,,
2015-01-02,99.94588470458984,80.15505981445312,184.26022338867188,109.33000183105469,93.26000213623047,205.42999267578125,111.44000244140625,95.0,206.8800048828125,107.3499984741211,93.05000305175781,204.17999267578125,111.38999938964844,94.12999725341797,206.3800048828125,53204600,6019700,121465900
2015-01-05,97.13024139404297,79.26978302001953,180.9325408935547,106.25,92.2300033569336,201.72000122070312,108.6500015258789,93.68000030517578,204.3699951171875,105.41000366210938,92.22000122070312,201.35000610351562,108.29000091552734,93.30000305175781,204.1699981689453,64285500,6211900,169632600
2015-01-06,97.13941955566406,79.4159164428711,179.22836303710938,106.26000213623047,92.4000015258789,199.82000732421875,107.43000030517578,93.80999755859375,202.72000122070312,104.62999725341797,91.87999725341797,198.86000061035156,106.54000091552734,92.66999816894531,202.08999633789062,65797100,6484100,209151400
2015-01-07,98.50151824951172,80.79965209960938,181.46173095703125,107.75,94.01000213623047,202.30999755859375,108.19999694824219,94.05000305175781,202.72000122070312,106.69999694824219,92.86000061035156,200.8800048828125,107.19999694824219,93.26000213623047,201.4199981689453,40105900,6400300,125346700
2015-01-08,102.28618621826172,81.10047149658203,184.6817626953125,111.88999938964844,94.36000061035156,205.89999389648438,112.1500015258789,94.9800033569336,206.16000366210938,108.69999694824219,94.05000305175781,203.99000549316406,109.2300033569336,94.2300033569336,204.00999450683594,59364500,5476700,147217800
2015-01-09,102.39584350585938,80.11206817626953,183.20179748535156,112.01000213623047,93.20999908447266,204.25,113.25,93.97000122070312,206.4199981689453,110.20999908447266,92.77999877929688,203.50999450683594,112.66999816894531,93.97000122070312,206.39999389648438,53699500,4283300,158567300
2015-01-12,99.87275695800781,79.94019317626953,181.76666259765625,109.25,93.01000213623047,202.64999389648438,112.62999725341797,93.80999755859375,204.60000610351562,108.80000305175781,92.5999984741211,201.9199981689453,112.5999984741211,93.52999877929688,204.41000366210938,49650800,3989600,144396100
2015-01-13,100.75951385498047,79.78546142578125,181.25543212890625,110.22000122070312,92.83000183105469,202.0800018310547,112.80000305175781,94.44000244140625,205.47999572753906,108.91000366210938,92.41999816894531,200.50999450683594,111.43000030517578,93.94999694824219,204.1199951171875,67091900,5971200,214553300
