Date,0
2015-04-01,180000.00000000003
2015-04-02,179585.6004001186
2015-04-06,178608.1042457524
2015-04-07,178600.95294983708
2015-04-08,179567.8642130046
2015-04-09,180652.61663109303
2015-04-10,181987.0001339724
2015-04-13,181329.62551075168
2015-04-14,181791.30543793077
2015-04-15,180907.37648890485
2015-04-16,178169.29921520114
2015-04-17,174823.74575835947
2015-04-20,176020.59441928926
2015-04-21,176464.04564754566
2015-04-22,177759.81813652915
2015-04-23,177671.3521950852
2015-04-24,176423.4036458442
2015-04-27,176352.7014331298
2015-04-28,175508.88067445255
2015-04-29,173778.73937649737
2015-04-30,171940.01121887335
2015-05-01,173976.18321082508
2015-05-04,175715.79321208317
2015-05-05,173000.10527555426
2015-05-06,172292.5167717258
2015-05-07,171958.27340552575
2015-05-08,175067.45792247294
2015-05-11,174549.69208219877
2015-05-12,174069.2164834058
2015-05-13,172895.8466763659
2015-05-14,173491.5312525085
2015-05-15,174173.3673121262
2015-05-18,174984.2982008565
2015-05-19,176924.71137369963
2015-05-20,178283.01548467806
2015-05-21,178350.76466359105
2015-05-22,177933.22103684503
2015-05-26,178256.7140420069
2015-05-27,181130.20475507615
2015-05-28,181290.5531833506
2015-05-29,179922.89915176708
2015-06-01,180507.40382941038
2015-06-02,181360.82486117593
2015-06-03,179757.82053666876
2015-06-04,179827.8680901779
2015-06-05,179968.40635449666
2015-06-08,178757.2850218371
2015-06-09,177947.76389686335
2015-06-10,178287.52193743954
2015-06-11,177601.22568189635
2015-06-12,177340.79236675802
2015-06-15,176849.36426657744
2015-06-16,176868.04158490757
2015-06-17,177107.69100890594
2015-06-18,176151.24588501852
2015-06-19,176536.2256557542
2015-06-22,178135.7671325069
2015-06-23,178977.18898045295
2015-06-24,178313.136305261
2015-06-25,178653.56723528242
2015-06-26,177904.84737242674
2015-06-29,175622.54466282018
2015-06-30,176758.74553826128
2015-07-01,178365.06984655856
2015-07-02,180133.27504616103
2015-07-06,179638.29601424834
2015-07-07,180419.83117998138
2015-07-08,179162.4461556682
2015-07-09,180027.2899502385
2015-07-10,181413.43118994893
2015-07-13,182325.1568297673
2015-07-14,183670.329782208
2015-07-15,183191.33429895015
2015-07-16,186909.23550087863
2015-07-17,187362.27950941247
2015-07-20,187493.93913366576
2015-07-21,187336.57205102002
2015-07-22,186154.14688977314
2015-07-23,186992.83731233003
2015-07-24,185539.12123074694
2015-07-27,185007.8837100621
2015-07-28,186098.06836112269
2015-07-29,185244.63392807342
2015-07-30,185516.86311465292
2015-07-31,186629.6651290119
2015-08-03,187999.94242190575
2015-08-04,188245.00104811377
2015-08-05,189017.2405850058
2015-08-06,187970.7899895986
2015-08-07,186888.77973648775
2015-08-10,188773.16287413795
2015-08-11,185718.39893203293
2015-08-12,186700.6532431082
2015-08-13,184806.38781200207
2015-08-14,186344.12083908153
2015-08-17,187132.83020439456
2015-08-18,186344.25031242234
2015-08-19,184978.8703515537
2015-08-20,185899.58689668681
2015-08-21,180102.69699755404
2015-08-24,182063.9615505571
2015-08-25,178344.44298730168
2015-08-26,182214.77524310845
2015-08-27,183903.62015705885
2015-08-28,182382.60767853624
2015-08-31,182325.6408115761
2015-09-01,181017.21166932952
2015-09-02,180945.03429904731
2015-09-03,181397.71448359345
2015-09-04,178478.12580727943
2015-09-08,182417.16259812607
2015-09-09,181083.73230660576
2015-09-10,181735.0754999514
2015-09-11,181407.42232227698
2015-09-14,181012.8017793725
2015-09-15,182071.88599814347
2015-09-16,183129.27604214626
2015-09-17,182078.40518283166
2015-09-18,180310.3905850039
2015-09-21,180912.56774172548
2015-09-22,179736.40360172265
2015-09-23,179628.45984318072
2015-09-24,180042.02388177518
2015-09-25,180521.6655133163
2015-09-28,177986.00629290295
2015-09-29,178826.94445235297
2015-09-30,180873.79133499143
2015-10-01,189458.10383771564
2015-10-02,190114.06294730134
2015-10-05,191097.7241956009
2015-10-06,189878.6052563147
2015-10-07,190359.3289213224
2015-10-08,191565.9234495204
2015-10-09,190589.40882231208
2015-10-12,189878.27726922318
2015-10-13,189728.60741315928
2015-10-14,189830.68215344593
2015-10-15,190178.99233965235
2015-10-16,189487.45739923595
2015-10-19,190133.3518324966
2015-10-20,191650.96449777076
2015-10-21,190400.26897873404
2015-10-22,194074.47237590936
2015-10-23,194719.84363304445
2015-10-26,195250.3499964261
2015-10-27,194406.96729122207
2015-10-28,197308.54611457
2015-10-29,195529.02809928174
2015-10-30,194752.97788566985
2015-11-02,194823.0456861028
2015-11-03,195427.2716340896
2015-11-04,194551.08289045605
2015-11-05,195597.14883052945
2015-11-06,195400.94083076547
2015-11-09,197390.27716561186
2015-11-10,196030.95172792042
2015-11-11,195666.28609285312
2015-11-12,194017.12808761472
2015-11-13,193528.10590917757
2015-11-16,195456.09968209104
2015-11-17,195602.82785825635
2015-11-18,196794.94136909198
2015-11-19,196672.50516845164
2015-11-20,196771.7024579089
2015-11-23,197365.33529533443
2015-11-24,197579.0383788711
2015-11-25,196731.65142726997
2015-11-27,196604.47374884505
2015-11-30,197371.63694077876
2015-12-01,198480.20088728177
2015-12-02,197268.2782609014
2015-12-03,195712.45751217936
2015-12-04,197380.86756057685
2015-12-07,197067.8136169461
2015-12-08,197756.05241801532
2015-12-09,197861.43017253187
2015-12-10,197680.7512362475
2015-12-11,196610.67138131597
2015-12-14,197938.62015391645
2015-12-15,198909.03527874048
2015-12-16,200661.98639816846
2015-12-17,200139.5575979106
2015-12-18,200647.74220128162
2015-12-21,201764.17168881695
2015-12-22,202647.81286158122
2015-12-23,203767.02182531013
